;UG;LOC;DA;TI;TF;TM
0;Brasil;Total;Total;15,4;22,4;28,9
1;Brasil;Urbana;Total;15,6;23,8;29,6
2;Brasil;Rural;Total;14,3;16,0;21,0
3;Brasil;Total;Federal;12,3;26,0;30,5
4;Brasil;Urbana;Federal;12,6;26,0;30,6
5;Brasil;Rural;Federal;9,3;0,0;30,4
6;Brasil;Total;Estadual;15,8;26,1;29,2
7;Brasil;Urbana;Estadual;18,3;27,4;30,0
8;Brasil;Rural;Estadual;9,7;14,7;20,3
9;Brasil;Total;Municipal;17,1;22,4;26,0
10;Brasil;Urbana;Municipal;17,6;24,6;28,0
11;Brasil;Rural;Municipal;14,4;16,2;15,8
12;Brasil;Total;Privada;12,3;19,0;26,9
13;Brasil;Urbana;Privada;12,3;19,0;27,0
14;Brasil;Rural;Privada;14,0;17,3;23,6
15;Brasil;Total;Pública;17,1;23,3;29,3
16;Brasil;Urbana;Pública;17,6;25,4;30,0
17;Brasil;Rural;Pública;14,3;16,0;20,9
18;Norte;Total;Total;17,2;21,4;27,5
19;Norte;Urbana;Total;18,5;25,0;31,2
20;Norte;Rural;Total;13,9;15,5;17,2
21;Norte;Total;Federal;16,0;26,1;31,8
22;Norte;Urbana;Federal;16,0;26,1;31,9
23;Norte;Rural;Federal;0,0;0,0;30,7
24;Norte;Total;Estadual;8,8;24,3;27,3
25;Norte;Urbana;Estadual;24,8;28,0;31,4
26;Norte;Rural;Estadual;5,8;13,4;16,9
27;Norte;Total;Municipal;18,0;20,9;19,0
28;Norte;Urbana;Municipal;19,9;25,6;25,2
29;Norte;Rural;Municipal;14,0;15,8;3,5
30;Norte;Total;Privada;13,0;18,6;28,0
31;Norte;Urbana;Privada;13,0;18,5;28,5
32;Norte;Rural;Privada;11,5;20,7;20,2
33;Norte;Total;Pública;18,0;21,7;27,4
34;Norte;Urbana;Pública;19,9;26,3;31,4
35;Norte;Rural;Pública;13,9;15,5;17,1
36;Nordeste;Total;Total;16,1;21,3;31,5
37;Nordeste;Urbana;Total;16,5;23,0;32,0
38;Nordeste;Rural;Total;15,0;17,1;26,7
39;Nordeste;Total;Federal;17,5;24,5;32,1
40;Nordeste;Urbana;Federal;17,5;24,5;32,1
41;Nordeste;Rural;Federal;0,0;0,0;32,0
42;Nordeste;Total;Estadual;10,2;26,7;32,1
43;Nordeste;Urbana;Estadual;15,1;29,0;32,6
44;Nordeste;Rural;Estadual;9,4;15,5;26,8
45;Nordeste;Total;Municipal;17,3;22,0;20,9
46;Nordeste;Urbana;Municipal;18,5;25,0;26,7
47;Nordeste;Rural;Municipal;15,1;17,1;18,6
48;Nordeste;Total;Privada;13,2;17,9;27,5
49;Nordeste;Urbana;Privada;13,2;17,9;27,6
50;Nordeste;Rural;Privada;14,4;15,6;22,2
51;Nordeste;Total;Pública;17,3;22,4;32,1
52;Nordeste;Urbana;Pública;18,5;25,4;32,6
53;Nordeste;Rural;Pública;15,0;17,1;26,9
54;Sudeste;Total;Total;15,1;23,7;29,3
55;Sudeste;Urbana;Total;15,2;24,3;29,5
56;Sudeste;Rural;Total;13,0;15,1;22,6
57;Sudeste;Total;Federal;13,2;25,3;30,5
58;Sudeste;Urbana;Federal;13,7;25,3;30,6
59;Sudeste;Rural;Federal;9,3;0,0;29,9
60;Sudeste;Total;Estadual;7,4;28,2;30,0
61;Sudeste;Urbana;Estadual;8,9;28,6;30,3
62;Sudeste;Rural;Estadual;5,8;16,3;21,5
63;Sudeste;Total;Municipal;17,5;23,7;28,1
64;Sudeste;Urbana;Municipal;17,8;24,7;28,3
65;Sudeste;Rural;Municipal;13,1;14,7;16,5
66;Sudeste;Total;Privada;11,8;19,4;26,0
67;Sudeste;Urbana;Privada;11,8;19,4;26,0
68;Sudeste;Rural;Privada;13,1;19,0;25,2
69;Sudeste;Total;Pública;17,5;25,2;30,0
70;Sudeste;Urbana;Pública;17,8;26,1;30,2
71;Sudeste;Rural;Pública;13,0;14,9;22,4
72;Sul;Total;Total;13,8;21,7;25,3
73;Sul;Urbana;Total;13,9;22,7;25,6
74;Sul;Rural;Total;12,2;13,7;18,6
75;Sul;Total;Federal;8,2;27,5;27,8
76;Sul;Urbana;Federal;8,2;27,5;27,5
77;Sul;Rural;Federal;0,0;0,0;30,1
78;Sul;Total;Estadual;9,7;23,0;24,6
79;Sul;Urbana;Estadual;12,9;24,0;25,0
80;Sul;Rural;Estadual;9,0;13,7;17,6
81;Sul;Total;Municipal;14,6;21,0;19,3
82;Sul;Urbana;Municipal;14,8;22,3;26,7
83;Sul;Rural;Municipal;12,4;13,7;7,8
84;Sul;Total;Privada;11,8;21,1;28,7
85;Sul;Urbana;Privada;11,8;21,1;28,8
86;Sul;Rural;Privada;11,8;16,8;26,8
87;Sul;Total;Pública;14,6;21,8;24,7
88;Sul;Urbana;Pública;14,8;23,0;25,1
89;Sul;Rural;Pública;12,3;13,7;18,4
90;Centro-Oeste;Total;Total;17,5;23,4;27,9
91;Centro-Oeste;Urbana;Total;17,7;24,3;28,8
92;Centro-Oeste;Rural;Total;14,1;15,7;17,9
93;Centro-Oeste;Total;Federal;5,3;30,3;29,1
94;Centro-Oeste;Urbana;Federal;5,3;30,3;29,3
95;Centro-Oeste;Rural;Federal;0,0;0,0;28,2
96;Centro-Oeste;Total;Estadual;18,8;26,0;27,9
97;Centro-Oeste;Urbana;Estadual;19,0;27,0;29,0
98;Centro-Oeste;Rural;Estadual;16,3;17,1;16,4
99;Centro-Oeste;Total;Municipal;19,2;23,6;20,3
100;Centro-Oeste;Urbana;Municipal;19,6;25,2;24,0
101;Centro-Oeste;Rural;Municipal;13,9;15,0;14,1
102;Centro-Oeste;Total;Privada;13,9;19,0;27,6
103;Centro-Oeste;Urbana;Privada;13,9;19,0;27,6
104;Centro-Oeste;Rural;Privada;14,3;21,2;26,7
105;Centro-Oeste;Total;Pública;19,2;24,6;28,0
106;Centro-Oeste;Urbana;Pública;19,6;26,0;29,0
107;Centro-Oeste;Rural;Pública;14,1;15,6;17,6
108;Rondônia;Total;Total;17,8;22,2;26,5
109;Rondônia;Urbana;Total;17,9;24,0;27,3
110;Rondônia;Rural;Total;16,6;15,5;18,4
111;Rondônia;Total;Federal;0,0;0,0;34,3
112;Rondônia;Urbana;Federal;0,0;0,0;35,6
113;Rondônia;Rural;Federal;0,0;0,0;30,9
114;Rondônia;Total;Estadual;15,0;24,2;26,0
115;Rondônia;Urbana;Estadual;15,0;26,5;26,9
116;Rondônia;Rural;Estadual;0,0;10,4;14,0
117;Rondônia;Total;Municipal;18,8;21,2;0,0
118;Rondônia;Urbana;Municipal;19,1;23,0;0,0
119;Rondônia;Rural;Municipal;16,6;16,9;0,0
120;Rondônia;Total;Privada;13,7;20,5;27,8
121;Rondônia;Urbana;Privada;13,7;20,1;28,0
122;Rondônia;Rural;Privada;0,0;28,3;27,0
123;Rondônia;Total;Pública;18,8;22,5;26,4
124;Rondônia;Urbana;Pública;19,0;24,6;27,3
125;Rondônia;Rural;Pública;16,6;15,2;17,0
126;Acre;Total;Total;16,8;20,2;22,4
127;Acre;Urbana;Total;20,6;25,7;32,5
128;Acre;Rural;Total;9,9;13,9;11,7
129;Acre;Total;Federal;23,0;25,0;34,9
130;Acre;Urbana;Federal;23,0;25,0;35,2
131;Acre;Rural;Federal;0,0;0,0;34,1
132;Acre;Total;Estadual;5,8;21,2;21,7
133;Acre;Urbana;Estadual;0,0;27,6;32,7
134;Acre;Rural;Estadual;5,8;13,5;11,3
135;Acre;Total;Municipal;17,2;18,7;0,0
136;Acre;Urbana;Municipal;21,2;23,9;0,0
137;Acre;Rural;Municipal;10,3;14,5;0,0
138;Acre;Total;Privada;14,2;20,8;29,2
139;Acre;Urbana;Privada;14,2;20,8;29,2
140;Acre;Total;Pública;16,9;20,2;22,1
141;Acre;Urbana;Pública;21,2;26,2;32,9
142;Acre;Rural;Pública;9,9;13,9;11,7
143;Amazonas;Total;Total;17,1;21,8;26,6
144;Amazonas;Urbana;Total;18,2;26,6;32,6
145;Amazonas;Rural;Total;14,1;14,2;14,1
146;Amazonas;Total;Federal;0,0;29,5;31,9
147;Amazonas;Urbana;Federal;0,0;29,5;31,8
148;Amazonas;Rural;Federal;0,0;0,0;32,3
149;Amazonas;Total;Estadual;0,0;28,3;26,4
150;Amazonas;Urbana;Estadual;0,0;30,4;33,2
151;Amazonas;Rural;Estadual;0,0;13,5;13,9
152;Amazonas;Total;Municipal;18,4;20,3;0,0
153;Amazonas;Urbana;Municipal;20,3;27,0;0,0
154;Amazonas;Rural;Municipal;14,1;14,2;0,0
155;Amazonas;Total;Privada;11,7;17,6;25,9
156;Amazonas;Urbana;Privada;11,7;17,6;25,9
157;Amazonas;Rural;Privada;4,7;20,6;35,7
158;Amazonas;Total;Pública;18,4;22,2;26,6
159;Amazonas;Urbana;Pública;20,3;28,2;33,2
160;Amazonas;Rural;Pública;14,1;14,2;14,1
161;Roraima;Total;Total;18,7;20,9;22,7
162;Roraima;Urbana;Total;20,3;24,9;27,7
163;Roraima;Rural;Total;14,5;14,5;13,7
164;Roraima;Total;Federal;0,0;24,3;28,5
165;Roraima;Urbana;Federal;0,0;24,3;30,0
166;Roraima;Rural;Federal;0,0;0,0;26,7
167;Roraima;Total;Estadual;0,0;20,6;22,4
168;Roraima;Urbana;Estadual;0,0;27,4;27,9
169;Roraima;Rural;Estadual;0,0;14,7;13,2
170;Roraima;Total;Municipal;19,4;21,4;0,0
171;Roraima;Urbana;Municipal;21,9;24,3;0,0
172;Roraima;Rural;Municipal;14,5;14,0;0,0
173;Roraima;Total;Privada;14,8;20,0;24,0
174;Roraima;Urbana;Privada;14,8;20,0;25,3
175;Roraima;Rural;Privada;0,0;0,0;5,5
176;Roraima;Total;Pública;19,4;21,0;22,6
177;Roraima;Urbana;Pública;21,9;25,4;27,9
178;Roraima;Rural;Pública;14,5;14,5;13,8
179;Pará;Total;Total;17,0;21,4;30,1
180;Pará;Urbana;Total;18,3;24,8;32,9
181;Pará;Rural;Total;14,3;16,8;22,0
182;Pará;Total;Federal;14,6;25,4;31,0
183;Pará;Urbana;Federal;14,6;25,4;31,0
184;Pará;Rural;Federal;0,0;0,0;31,2
185;Pará;Total;Estadual;13,0;25,4;30,2
186;Pará;Urbana;Estadual;26,9;27,0;33,4
187;Pará;Rural;Estadual;4,0;15,2;22,1
188;Pará;Total;Municipal;17,5;21,3;19,0
189;Pará;Urbana;Municipal;19,6;26,2;25,2
190;Pará;Rural;Municipal;14,4;16,9;3,5
191;Pará;Total;Privada;13,6;18,5;29,2
192;Pará;Urbana;Privada;13,7;18,5;29,8
193;Pará;Rural;Privada;12,5;15,0;17,0
194;Pará;Total;Pública;17,5;21,7;30,2
195;Pará;Urbana;Pública;19,6;26,3;33,3
196;Pará;Rural;Pública;14,3;16,8;22,1
197;Amapá;Total;Total;16,1;20,5;27,2
198;Amapá;Urbana;Total;17,1;24,2;30,1
199;Amapá;Rural;Total;12,9;12,8;16,5
200;Amapá;Total;Federal;0,0;0,0;33,4
201;Amapá;Urbana;Federal;0,0;0,0;33,4
202;Amapá;Total;Estadual;7,9;21,5;27,2
203;Amapá;Urbana;Estadual;0,0;27,6;30,2
204;Amapá;Rural;Estadual;7,9;12,5;16,8
205;Amapá;Total;Municipal;17,6;20,1;0,0
206;Amapá;Urbana;Municipal;19,1;23,2;0,0
207;Amapá;Rural;Municipal;13,3;13,3;0,0
208;Amapá;Total;Privada;10,5;17,1;25,4
209;Amapá;Urbana;Privada;10,5;17,4;27,6
210;Amapá;Rural;Privada;0,0;5,6;12,8
211;Amapá;Total;Pública;17,4;20,9;27,4
212;Amapá;Urbana;Pública;19,1;25,4;30,4
